,text_name,text_id,token,pos,sem,usas_tags,usas_tags_def,mwe,lemma,sentence
0,italy_sem,832aa22191b946a5780ec066ecf54051,Il,DET,['Z5'],['Z5'],['Grammatical bin'],no,il,"<span style=""color: #2ca25f; font-weight: bold"">Il</span> Nilo è un fiume africano lungo 6.852 km che attraversa otto stati dell'Africa. "
1,italy_sem,832aa22191b946a5780ec066ecf54051,Nilo,PROPN,['Z99'],['Z99'],['Unmatched'],no,nilo,"Il <span style=""color: #2ca25f; font-weight: bold"">Nilo</span> è un fiume africano lungo 6.852 km che attraversa otto stati dell'Africa. "
2,italy_sem,832aa22191b946a5780ec066ecf54051,è,AUX,"['A5.1', 'S7.1++', 'X3.2', 'Q2.2', 'A8', 'N3.1%']",['A5.1'],['Evaluation: Good/bad'],no,essere,"Il Nilo <span style=""color: #2ca25f; font-weight: bold"">è</span> un fiume africano lungo 6.852 km che attraversa otto stati dell'Africa. "
3,italy_sem,832aa22191b946a5780ec066ecf54051,un,DET,['Z5'],['Z5'],['Grammatical bin'],no,uno,"Il Nilo è <span style=""color: #2ca25f; font-weight: bold"">un</span> fiume africano lungo 6.852 km che attraversa otto stati dell'Africa. "
4,italy_sem,832aa22191b946a5780ec066ecf54051,fiume,NOUN,['W3'],['W3'],['Geographical terms'],no,fiume,"Il Nilo è un <span style=""color: #2ca25f; font-weight: bold"">fiume</span> africano lungo 6.852 km che attraversa otto stati dell'Africa. "
5,italy_sem,832aa22191b946a5780ec066ecf54051,africano,ADJ,['Z2'],['Z2'],['Geographical names'],no,africano,"Il Nilo è un fiume <span style=""color: #2ca25f; font-weight: bold"">africano</span> lungo 6.852 km che attraversa otto stati dell'Africa. "
6,italy_sem,832aa22191b946a5780ec066ecf54051,lungo,ADP,['Z5'],['Z5'],['Grammatical bin'],no,lungo,"Il Nilo è un fiume africano <span style=""color: #2ca25f; font-weight: bold"">lungo</span> 6.852 km che attraversa otto stati dell'Africa. "
7,italy_sem,832aa22191b946a5780ec066ecf54051,6.852,NUM,['N1'],['N1'],['Numbers'],no,6.852,"Il Nilo è un fiume africano lungo <span style=""color: #2ca25f; font-weight: bold"">6.852</span> km che attraversa otto stati dell'Africa. "
8,italy_sem,832aa22191b946a5780ec066ecf54051,km,NOUN,['N3.3'],['N3.3'],['Measurement: Distance'],no,km,"Il Nilo è un fiume africano lungo 6.852 <span style=""color: #2ca25f; font-weight: bold"">km</span> che attraversa otto stati dell'Africa. "
9,italy_sem,832aa22191b946a5780ec066ecf54051,che,PRON,['Z8'],['Z8'],['Pronouns'],no,che,"Il Nilo è un fiume africano lungo 6.852 km <span style=""color: #2ca25f; font-weight: bold"">che</span> attraversa otto stati dell'Africa. "
10,italy_sem,832aa22191b946a5780ec066ecf54051,attraversa,VERB,"['M1', 'M6', 'S8-', 'A1.8+', 'A6.3+', 'F4/L2', 'O4.4', 'Q1.2', 'E3-', 'S1.1.1', 'S9@']",['M1'],"['Moving, coming and going']",no,attraversare,"Il Nilo è un fiume africano lungo 6.852 km che <span style=""color: #2ca25f; font-weight: bold"">attraversa</span> otto stati dell'Africa. "
11,italy_sem,832aa22191b946a5780ec066ecf54051,otto,NUM,['N1'],['N1'],['Numbers'],no,otto,"Il Nilo è un fiume africano lungo 6.852 km che attraversa <span style=""color: #2ca25f; font-weight: bold"">otto</span> stati dell'Africa. "
12,italy_sem,832aa22191b946a5780ec066ecf54051,stati,NOUN,"['G2.1/H1', 'B2', 'A3']","['G2.1', 'H1']","['Law and order', 'Architecture, houses and buildings']",no,stato,"Il Nilo è un fiume africano lungo 6.852 km che attraversa otto <span style=""color: #2ca25f; font-weight: bold"">stati</span> dell'Africa. "
